common,scientific
Black Scoter,Melanitta nigra
Oldsquaw,Clangula hyemalis
Bufflehead,Bucephala albeola
Common Goldeneye,Bucephala clangula
Barrow's Goldeneye,Bucephala islandica
Smew,Mergellus albellus
Hooded Merganser,Lophodytes cucullatus
Common Merganser,Mergus merganser
Red-breasted Merganser,Mergus serrator
Masked Duck,Nomonyx dominicus
Ruddy Duck,Oxyura jamaicensis
Osprey,Pandion haliaetus
Hook-billed Kite,Chondrohierax uncinatus
Swallow-tailed Kite,Elanoides forficatus
White-tailed Kite,Elanus leucurus
Snail Kite,Rostrhamus sociabilis
Mississippi Kite,Ictinia mississippiensis
Bald Eagle,Haliaeetus leucocephalus
White-tailed Eagle,Haliaeetus albicilla
Steller's Sea-Eagle,Haliaeetus pelagicus
Northern Harrier,Circus cyaneus
Sharp-shinned Hawk,Accipiter striatus
Cooper's Hawk,Accipiter cooperii
Northern Goshawk,Accipiter gentilis
Crane Hawk,Geranospiza caerulescens
Gray Hawk,Asturina nitida
Common Black-Hawk,Buteogallus anthracinus
Harris's Hawk,Parabuteo unicinctus
Roadside Hawk,Buteo magnirostris
Red-shouldered Hawk,Buteo lineatus
Broad-winged Hawk,Buteo platypterus
Short-tailed Hawk,Buteo brachyurus
Swainson's Hawk,Buteo swainsoni
White-tailed Hawk,Buteo albicaudatus
Zone-tailed Hawk,Buteo albonotatus
Red-tailed Hawk,Buteo jamaicensis
Ferruginous Hawk,Buteo regalis
Rough-legged Hawk,Buteo lagopus
Golden Eagle,Aquila chrysaetos
Collared Forest-Falcon,Micrastur semitorquatus
Crested Caracara,Caracara plancus
Eurasian Kestrel,Falco tinnunculus
American Kestrel,Falco sparverius
Merlin,Falco columbarius
Eurasian Hobby,Falco subbuteo
Aplomado Falcon,Falco femoralis
Gyrfalcon,Falco rusticolus
Peregrine Falcon,Falco peregrinus
Prairie Falcon,Falco mexicanus
Plain Chachalaca,Ortalis vetula
Chukar,Alectoris chukar
Himalayan Snowcock,Tetraogallus himalayensis
Gray Partridge,Perdix perdix
Ring-necked Pheasant,Phasianus colchicus
Ruffed Grouse,Bonasa umbellus
Sage Grouse,Centrocercus urophasianus
Spruce Grouse,Falcipennis canadensis
Willow Ptarmigan,Lagopus lagopus
Rock Ptarmigan,Lagopus mutus
White-tailed Ptarmigan,Lagopus leucurus
Blue Grouse,Dendragapus obscurus
Sharp-tailed Grouse,Tympanuchus phasianellus
Greater Prairie-chicken,Tympanuchus cupido
Lesser Prairie-chicken,Tympanuchus pallidicinctus
Wild Turkey,Meleagris gallopavo
Mountain Quail,Oreortyx pictus
Scaled Quail,Callipepla squamata
California Quail,Callipepla californica
Gambel's Quail,Callipepla gambelii
Northern Bobwhite,Colinus virginianus
Montezuma Quail,Cyrtonyx montezumae
Yellow Rail,Coturnicops noveboracensis
Black Rail,Laterallus jamaicensis
Corn Crake,Crex crex
Clapper Rail,Rallus longirostris
King Rail,Rallus elegans
Virginia Rail,Rallus limicola
Sora,Porzana carolina
Paint-billed Crake,Neocrex erythrops
Spotted Rail,Pardirallus maculatus
Purple Gallinule,Porphyrula martinica
Azure Gallinule,Porphyrula flavirostris
Common Moorhen,Gallinula chloropus
Eurasian Coot,Fulica atra
American Coot,Fulica americana
Limpkin,Aramus guarauna
Sandhill Crane,Grus canadensis
Common Crane,Grus grus
Whooping Crane,Grus americana
Double-striped Thick-knee,Burhinus bistriatus
Northern Lapwing,Vanellus vanellus
Black-bellied Plover,Pluvialis squatarola
European Golden-Plover,Pluvialis apricaria
American Golden-Plover,Pluvialis dominica
Pacific Golden-Plover,Pluvialis fulva
Mongolian Plover,Charadrius mongolus
Collared Plover,Charadrius collaris
Snowy Plover,Charadrius alexandrinus
Wilson's Plover,Charadrius wilsonia
Common Ringed Plover,Charadrius hiaticula
Semipalmated Plover,Charadrius semipalmatus
Piping Plover,Charadrius melodus
Little Ringed Plover,Charadrius dubius
Killdeer,Charadrius vociferus
Mountain Plover,Charadrius montanus
Eurasian Dotterel,Charadrius morinellus
Eurasian Oystercatcher,Haematopus ostralegus
American Oystercatcher,Haematopus palliatus
Black Oystercatcher,Haematopus bachmani
Black-winged Stilt,Himantopus himantopus
Black-necked Stilt,Himantopus mexicanus
American Avocet,Recurvirostra americana
Northern Jacana,Jacana spinosa
Common Greenshank,Tringa nebularia
Greater Yellowlegs,Tringa melanoleuca
Lesser Yellowlegs,Tringa flavipes
Marsh Sandpiper,Tringa stagnatilis
Spotted Redshank,Tringa erythropus
Wood Sandpiper,Tringa glareola
Green Sandpiper,Tringa ochropus
Solitary Sandpiper,Tringa solitaria
Willet,Catoptrophorus semipalmatus
Wandering Tattler,Heteroscelus incanus
Gray-tailed Tattler,Heteroscelus brevipes
Common Sandpiper,Actitis hypoleucos
Spotted Sandpiper,Actitis macularia
Terek Sandpiper,Xenus cinereus
Upland Sandpiper,Bartramia longicauda
Little Curlew,Numenius minutus
Eskimo Curlew,Numenius borealis
Whimbrel,Numenius phaeopus
Bristle-thighed Curlew,Numenius tahitiensis
Far Eastern Curlew,Numenius madagascariensis
Slender-billed Curlew,Numenius tenuirostris
Eurasian Curlew,Numenius arquata
Long-billed Curlew,Numenius americanus
Black-tailed Godwit,Limosa limosa
Hudsonian Godwit,Limosa haemastica
Bar-tailed Godwit,Limosa lapponica
Marbled Godwit,Limosa fedoa
Ruddy Turnstone,Arenaria interpres
Black Turnstone,Arenaria melanocephala
Surfbird,Aphriza virgata
Great Knot,Calidris tenuirostris
Red Knot,Calidris canutus
Sanderling,Calidris alba
Semipalmated Sandpiper,Calidris pusilla
Western Sandpiper,Calidris mauri
Red-necked Stint,Calidris ruficollis
Little Stint,Calidris minuta
Temminck's Stint,Calidris temminckii
Long-toed Stint,Calidris subminuta
Least Sandpiper,Calidris minutilla
White-rumped Sandpiper,Calidris fuscicollis
Baird's Sandpiper,Calidris bairdii
Pectoral Sandpiper,Calidris melanotos
Sharp-tailed Sandpiper,Calidris acuminata
Purple Sandpiper,Calidris maritima
Rock Sandpiper,Calidris ptilocnemis
Dunlin,Calidris alpina
Curlew Sandpiper,Calidris ferruginea
Stilt Sandpiper,Calidris himantopus
Spoonbill Sandpiper,Eurynorhynchus pygmeus
Broad-billed Sandpiper,Limicola falcinellus
Buff-breasted Sandpiper,Tryngites subruficollis
Ruff,Philomachus pugnax
Short-billed Dowitcher,Limnodromus griseus
Long-billed Dowitcher,Limnodromus scolopaceus
Jack Snipe,Lymnocryptes minimus
Common Snipe,Gallinago gallinago
Pin-tailed Snipe,Gallinago stenura
Eurasian Woodcock,Scolopax rusticola
American Woodcock,Scolopax minor
Wilson's Phalarope,Phalaropus tricolor
Red-necked Phalarope,Phalaropus lobatus
Red Phalarope,Phalaropus fulicaria
Oriental Pratincole,Glareola maldivarum
Great Skua,Catharacta skua
South Polar Skua,Catharacta maccormicki
Pomarine Jaeger,Stercorarius pomarinus
Parasitic Jaeger,Stercorarius parasiticus
Long-tailed Jaeger,Stercorarius longicaudus
Laughing Gull,Larus atricilla
Franklin's Gull,Larus pipixcan
Little Gull,Larus minutus
Black-headed Gull,Larus ridibundus
Bonaparte's Gull,Larus philadelphia
Heermann's Gull,Larus heermanni
Band-tailed Gull,Larus belcheri
Black-tailed Gull,Larus crassirostris
Mew Gull,Larus canus
Ring-billed Gull,Larus delawarensis
California Gull,Larus californicus
Herring Gull,Larus argentatus
Yellow-legged Gull,Larus cachinnans
Thayer's Gull,Larus thayeri
Iceland Gull,Larus glaucoides
Lesser Black-backed Gull,Larus fuscus
Slaty-backed Gull,Larus schistisagus
Yellow-footed Gull,Larus livens
Western Gull,Larus occidentalis
Glaucous-winged Gull,Larus glaucescens
Glaucous Gull,Larus hyperboreus
Great Black-backed Gull,Larus marinus
Sabine's Gull,Xema sabini
Black-legged Kittiwake,Rissa tridactyla
Red-legged Kittiwake,Rissa brevirostris
Ross's Gull,Rhodostethia rosea
Ivory Gull,Pagophila eburnea
Gull-billed Tern,Sterna nilotica
Caspian Tern,Sterna caspia
Royal Tern,Sterna maxima
Elegant Tern,Sterna elegans
Sandwich Tern,Sterna sandvicensis
Roseate Tern,Sterna dougallii
Common Tern,Sterna hirundo
Arctic Tern,Sterna paradisaea
Forster's Tern,Sterna forsteri
Least Tern,Sterna antillarum
Aleutian Tern,Sterna aleutica
Bridled Tern,Sterna anaethetus
Sooty Tern,Sterna fuscata
Large-billed Tern,Phaetusa simplex
White-winged Tern,Chlidonias leucopterus
Whiskered Tern,Chlidonias hybridus
Black Tern,Chlidonias niger
Brown Noddy,Anous stolidus
Black Noddy,Anous minutus
Black Skimmer,Rynchops niger
Dovekie,Alle alle
Common Murre,Uria aalge
Thick-billed Murre,Uria lomvia
Razorbill,Alca torda
Great Auk,Pinguinus impennis
Black Guillemot,Cepphus grylle
Pigeon Guillemot,Cepphus columba
Long-billed Murrelet,Brachyramphus perdix
Marbled Murrelet,Brachyramphus marmoratus
Kittlitz's Murrelet,Brachyramphus brevirostris
Xantus's Murrelet,Synthliboramphus hypoleucus
Craveri's Murrelet,Synthliboramphus craveri
Ancient Murrelet,Synthliboramphus antiquus
Cassin's Auklet,Ptychoramphus aleuticus
Parakeet Auklet,Aethia psittacula
Least Auklet,Aethia pusilla
Whiskered Auklet,Aethia pygmaea
Crested Auklet,Aethia cristatella
Rhinoceros Auklet,Cerorhinca monocerata
Atlantic Puffin,Fratercula arctica
Horned Puffin,Fratercula corniculata
Tufted Puffin,Fratercula cirrhata
Rock Dove,Columba livia
Scaly-naped Pigeon,Columba squamosa
White-crowned Pigeon,Columba leucocephala
Red-billed Pigeon,Columba flavirostris
Band-tailed Pigeon,Columba fasciata
Oriental Turtle-Dove,Streptopelia orientalis
European Turtle-Dove,Streptopelia turtur
Eurasian Collared-Dove,Streptopelia decaocto
Spotted Dove,Streptopelia chinensis
White-winged Dove,Zenaida asiatica
Zenaida Dove,Zenaida aurita
Mourning Dove,Zenaida macroura
Passenger Pigeon,Ectopistes migratorius
Inca Dove,Columbina inca
Common Ground-Dove,Columbina passerina
Ruddy Ground-Dove,Columbina talpacoti
White-tipped Dove,Leptotila verreauxi
Key West Quail-Dove,Geotrygon chrysia
Ruddy Quail-Dove,Geotrygon montana
Budgerigar,Melopsittacus undulatus
Monk Parakeet,Myiopsitta monachus
Carolina Parakeet,Conuropsis carolinensis
Thick-billed Parrot,Rhynchopsitta pachyrhyncha
White-winged Parakeet,Brotogeris versicolurus
Red-crowned Parrot,Amazona viridigenalis
Common Cuckoo,Cuculus canorus
Oriental Cuckoo,Cuculus saturatus
Black-billed Cuckoo,Coccyzus erythropthalmus
Yellow-billed Cuckoo,Coccyzus americanus
Mangrove Cuckoo,Coccyzus minor
Greater Roadrunner,Geococcyx californianus
Smooth-billed Ani,Crotophaga ani
Groove-billed Ani,Crotophaga sulcirostris
Barn Owl,Tyto alba
Flammulated Owl,Otus flammeolus
Oriental Scops-Owl,Otus sunia
Western Screech-Owl,Otus kennicottii
Eastern Screech-Owl,Otus asio
Whiskered Screech-Owl,Otus trichopsis
Great Horned Owl,Bubo virginianus
Snowy Owl,Nyctea scandiaca
Northern Hawk Owl,Surnia ulula
Northern Pygmy-Owl,Glaucidium gnoma
Ferruginous Pygmy-Owl,Glaucidium brasilianum
Elf Owl,Micrathene whitneyi
Burrowing Owl,Athene cunicularia
Mottled Owl,Ciccaba virgata
Spotted Owl,Strix occidentalis
Barred Owl,Strix varia
Great Gray Owl,Strix nebulosa
Long-eared Owl,Asio otus
Short-eared Owl,Asio flammeus
Boreal Owl,Aegolius funereus
Northern Saw-whet Owl,Aegolius acadicus
Lesser Nighthawk,Chordeiles acutipennis
Common Nighthawk,Chordeiles minor
Antillean Nighthawk,Chordeiles gundlachii
Common Pauraque,Nyctidromus albicollis
Common Poorwill,Phalaenoptilus nuttallii
Chuck-will's-widow,Caprimulgus carolinensis
Buff-collared Nightjar,Caprimulgus ridgwayi
Whip-poor-will,Caprimulgus vociferus
Jungle Nightjar,Caprimulgus indicus
Black Swift,Cypseloides niger
White-collared Swift,Streptoprocne zonaris
Chimney Swift,Chaetura pelagica
Vaux's Swift,Chaetura vauxi
White-throated Needletail,Hirundapus caudacutus
Common Swift,Apus apus
Fork-tailed Swift,Apus pacificus
White-throated Swift,Aeronautes saxatalis
Antillean Palm Swift,Tachornis phoenicobia
Green Violet-ear,Colibri thalassinus
Green-breasted Mango,Anthracothorax prevostii
Broad-billed Hummingbird,Cynanthus latirostris
White-eared Hummingbird,Hylocharis leucotis
Xantus's Hummingbird,Hylocharis xantusii
Berylline Hummingbird,Amazilia beryllina
Buff-bellied Hummingbird,Amazilia yucatanensis
Cinnamon Hummingbird,Amazilia rutila
Violet-crowned Hummingbird,Amazilia violiceps
Blue-throated Hummingbird,Lampornis clemenciae
Magnificent Hummingbird,Eugenes fulgens
Plain-capped Starthroat,Heliomaster constantii
Bahama Woodstar,Calliphlox evelynae
Lucifer Hummingbird,Calothorax lucifer
Ruby-throated Hummingbird,Archilochus colubris
Black-chinned Hummingbird,Archilochus alexandri
Anna's Hummingbird,Calypte anna
Costa's Hummingbird,Calypte costae
Calliope Hummingbird,Stellula calliope
Bumblebee Hummingbird,Atthis heloisa
Broad-tailed Hummingbird,Selasphorus platycercus
Rufous Hummingbird,Selasphorus rufus
Allen's Hummingbird,Selasphorus sasin
Elegant Trogon,Trogon elegans
Eared Trogon,Euptilotis neoxenus
Hoopoe,Upupa epops
Ringed Kingfisher,Ceryle torquata
Belted Kingfisher,Ceryle alcyon
Green Kingfisher,Chloroceryle americana
Eurasian Wryneck,Jynx torquilla
Lewis's Woodpecker,Melanerpes lewis
Red-headed Woodpecker,Melanerpes erythrocephalus
Acorn Woodpecker,Melanerpes formicivorus
Gila Woodpecker,Melanerpes uropygialis
Golden-fronted Woodpecker,Melanerpes aurifrons
Red-bellied Woodpecker,Melanerpes carolinus
Williamson's Sapsucker,Sphyrapicus thyroideus
Yellow-bellied Sapsucker,Sphyrapicus varius
Red-naped Sapsucker,Sphyrapicus nuchalis
Red-breasted Sapsucker,Sphyrapicus ruber
Great Spotted Woodpecker,Dendrocopos major
Ladder-backed Woodpecker,Picoides scalaris
Nuttall's Woodpecker,Picoides nuttallii
Downy Woodpecker,Picoides pubescens
Hairy Woodpecker,Picoides villosus
Strickland's Woodpecker,Picoides stricklandi
Red-cockaded Woodpecker,Picoides borealis
White-headed Woodpecker,Picoides albolarvatus
Three-toed Woodpecker,Picoides tridactylus
Black-backed Woodpecker,Picoides arcticus
Northern Flicker,Colaptes auratus
Gilded Flicker,Colaptes chrysoides
Pileated Woodpecker,Dryocopus pileatus
Ivory-billed Woodpecker,Campephilus principalis
Northern Beardless-Tyrannulet,Camptostoma imberbe
Greenish Elaenia,Myiopagis viridicata
Caribbean Elaenia,Elaenia martinica
Tufted Flycatcher,Mitrephanes phaeocercus
Olive-sided Flycatcher,Contopus cooperi
Greater Pewee,Contopus pertinax
Western Wood-Pewee,Contopus sordidulus
Eastern Wood-Pewee,Contopus virens
Yellow-bellied Flycatcher,Empidonax flaviventris
Acadian Flycatcher,Empidonax virescens
Alder Flycatcher,Empidonax alnorum
Willow Flycatcher,Empidonax traillii
Least Flycatcher,Empidonax minimus
Hammond's Flycatcher,Empidonax hammondii
Dusky Flycatcher,Empidonax oberholseri
Gray Flycatcher,Empidonax wrightii
Pacific-slope Flycatcher,Empidonax difficilis
Cordilleran Flycatcher,Empidonax occidentalis
Buff-breasted Flycatcher,Empidonax fulvifrons
Black Phoebe,Sayornis nigricans
Eastern Phoebe,Sayornis phoebe
Say's Phoebe,Sayornis saya
Vermilion Flycatcher,Pyrocephalus rubinus
Dusky-capped Flycatcher,Myiarchus tuberculifer
Ash-throated Flycatcher,Myiarchus cinerascens
Nutting's Flycatcher,Myiarchus nuttingi
Great Crested Flycatcher,Myiarchus crinitus
Brown-crested Flycatcher,Myiarchus tyrannulus
La Sagra's Flycatcher,Myiarchus sagrae
Great Kiskadee,Pitangus sulphuratus
Sulphur-bellied Flycatcher,Myiodynastes luteiventris
Variegated Flycatcher,Empidonomus varius
Tropical Kingbird,Tyrannus melancholicus
Couch's Kingbird,Tyrannus couchii
Cassin's Kingbird,Tyrannus vociferans
Thick-billed Kingbird,Tyrannus crassirostris
Western Kingbird,Tyrannus verticalis
Eastern Kingbird,Tyrannus tyrannus
Gray Kingbird,Tyrannus dominicensis
Loggerhead Kingbird,Tyrannus caudifasciatus
Scissor-tailed Flycatcher,Tyrannus forficatus
Fork-tailed Flycatcher,Tyrannus savana
Rose-throated Becard,Pachyramphus aglaiae
Masked Tityra,Tityra semifasciata
Brown Shrike,Lanius cristatus
Loggerhead Shrike,Lanius ludovicianus
Northern Shrike,Lanius excubitor
White-eyed Vireo,Vireo griseus
Thick-billed Vireo,Vireo crassirostris
Bell's Vireo,Vireo bellii
Black-capped Vireo,Vireo atricapillus
Gray Vireo,Vireo vicinior
Yellow-throated Vireo,Vireo flavifrons
Plumbeous Vireo,Vireo plumbeus*
Cassin's Vireo,Vireo cassinii*
Blue-headed Vireo,Vireo solitarius*
Hutton's Vireo,Vireo huttoni
Warbling Vireo,Vireo gilvus
Philadelphia Vireo,Vireo philadelphicus
Red-eyed Vireo,Vireo olivaceus
Yellow-green Vireo,Vireo flavoviridis
Black-whiskered Vireo,Vireo altiloquus
Yucatan Vireo,Vireo magister
Gray Jay,Perisoreus canadensis
Steller's Jay,Cyanocitta stelleri
Blue Jay,Cyanocitta cristata
Green Jay,Cyanocorax yncas
Brown Jay,Cyanocorax morio
Florida Scrub-Jay,Aphelocoma coerulescens
Island Scrub-Jay,Aphelocoma insularis
Western Scrub-Jay,Aphelocoma californica
Mexican Jay,Aphelocoma ultramarina
Pinyon Jay,Gymnorhinus cyanocephalus
Clark's Nutcracker,Nucifraga columbiana
Black-billed Magpie,Pica pica
Yellow-billed Magpie,Pica nuttalli
Eurasian Jackdaw,Corvus monedula
American Crow,Corvus brachyrhynchos
Northwestern Crow,Corvus caurinus
Tamaulipas Crow,Corvus imparatus
Fish Crow,Corvus ossifragus
Chihuahuan Raven,Corvus cryptoleucus
Common Raven,Corvus corax
Sky Lark,Alauda arvensis
Horned Lark,Eremophila alpestris
Purple Martin,Progne subis
Cuban Martin,Progne cryptoleuca
Gray-breasted Martin,Progne chalybea
Southern Martin,Progne elegans
Brown-chested Martin,Progne tapera
Tree Swallow,Tachycineta bicolor
Violet-green Swallow,Tachycineta thalassina
Bahama Swallow,Tachycineta cyaneoviridis
Northern Rough-winged Swallow,Stelgidopteryx serripennis
Bank Swallow,Riparia riparia
Cliff Swallow,Petrochelidon pyrrhonota
Cave Swallow,Petrochelidon fulva
Barn Swallow,Hirundo rustica
Common House-Martin,Delichon urbica
Carolina Chickadee,Poecile carolinensis
Black-capped Chickadee,Poecile atricapillus
Mountain Chickadee,Poecile gambeli
Mexican Chickadee,Poecile sclateri
Chestnut-backed Chickadee,Poecile rufescens
Boreal Chickadee,Poecile hudsonicus
Gray-headed Chickadee,Poecile cinctus
Bridled Titmouse,Baeolophus wollweberi
Oak Titmouse,Baeolophus inornatus
Juniper Titmouse,Baeolophus ridgwayi
Tufted Titmouse,Baeolophus bicolor
Verdin,Auriparus flaviceps
Bushtit,Psaltriparus minimus
Red-breasted Nuthatch,Sitta canadensis
White-breasted Nuthatch,Sitta carolinensis
Pygmy Nuthatch,Sitta pygmaea
Brown-headed Nuthatch,Sitta pusilla
Brown Creeper,Certhia americana
Cactus Wren,Campylorhynchus brunneicapillus
Rock Wren,Salpinctes obsoletus
Canyon Wren,Catherpes mexicanus
Carolina Wren,Thryothorus ludovicianus
Bewick's Wren,Thryomanes bewickii
House Wren,Troglodytes aedon
Winter Wren,Troglodytes troglodytes
Sedge Wren,Cistothorus platensis
Marsh Wren,Cistothorus palustris
American Dipper,Cinclus mexicanus
Red-whiskered Bulbul,Pycnonotus jocosus
Golden-crowned Kinglet,Regulus satrapa
Ruby-crowned Kinglet,Regulus calendula
Middendorff's Grasshopper-Warbler,Locustella ochotensis
Lanceolated Warbler,Locustella lanceolata
Wood Warbler,Phylloscopus sibilatrix
Dusky Warbler,Phylloscopus fuscatus
Arctic Warbler,Phylloscopus borealis
Blue-gray Gnatcatcher,Polioptila caerulea
California Gnatcatcher,Polioptila californica
Black-tailed Gnatcatcher,Polioptila melanura
Black-capped Gnatcatcher,Polioptila nigriceps
Narcissus Flycatcher,Ficedula narcissina
Mugimaki Flycatcher,Ficedula mugimaki
Red-breasted Flycatcher,Ficedula parva
Siberian Flycatcher,Muscicapa sibirica
Gray-spotted Flycatcher,Muscicapa griseisticta
Asian Brown Flycatcher,Muscicapa dauurica
Siberian Rubythroat,Luscinia calliope
Bluethroat,Luscinia svecica
Siberian Blue Robin,Luscinia cyane
Red-flanked Bluetail,Tarsiger cyanurus
Northern Wheatear,Oenanthe oenanthe
Stonechat,Saxicola torquata
Eastern Bluebird,Sialia sialis
Western Bluebird,Sialia mexicana
Mountain Bluebird,Sialia currucoides
Townsend's Solitaire,Myadestes townsendi
Veery,Catharus fuscescens
Gray-cheeked Thrush,Catharus minimus
Bicknell's Thrush,Catharus bicknelli
Swainson's Thrush,Catharus ustulatus
Hermit Thrush,Catharus guttatus
Wood Thrush,Hylocichla mustelina
Eurasian Blackbird,Turdus merula
Eyebrowed Thrush,Turdus obscurus
Dusky Thrush,Turdus naumanni
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Clay-colored Robin,Turdus grayi
White-throated Robin,Turdus assimilis
Rufous-backed Robin,Turdus rufopalliatus
American Robin,Turdus migratorius
Varied Thrush,Ixoreus naevius
Aztec Thrush,Ridgwayia pinicola
Wrentit,Chamaea fasciata
Gray Catbird,Dumetella carolinensis
Black Catbird,Melanoptila glabrirostris
Northern Mockingbird,Mimus polyglottos
Bahama Mockingbird,Mimus gundlachii
Sage Thrasher,Oreoscoptes montanus
Brown Thrasher,Toxostoma rufum
Long-billed Thrasher,Toxostoma longirostre
Bendire's Thrasher,Toxostoma bendirei
Curve-billed Thrasher,Toxostoma curvirostre
California Thrasher,Toxostoma redivivum
Crissal Thrasher,Toxostoma crissale
Le Conte's Thrasher,Toxostoma lecontei
Blue Mockingbird,Melanotis caerulescens
European Starling,Sturnus vulgaris
